fid,id,LDEN,st_area_sh,st_length_,Long,Lat
1,3072,55,100.06928988,40.0138555769,3.86589,43.67987
2,3836,55,100.06922166,40.0138419376,3.94918,43.67728
3,3883,52,100.06977864,40.0139532953,3.87305,43.67824
4,4800,53,100.06928228,40.0138540574,3.86818,43.67723
5,5730,57,200.13855696,60.0207291895,3.86785,43.67633
6,5828,53,100.06977864,40.0139532953,3.86791,43.67624
7,8479,56,100.069214105,40.0138404272,3.95774,43.67265
8,10036,53,700.489561005,160.056028372,3.85222,43.67315
9,11719,54,100.06928988,40.0138555769,3.85391,43.67193
10,15412,53,400.282703105,100.03509159,3.84834,43.6702
11,18676,52,100.0702826,40.0140540517,3.86226,43.66866
12,19552,57,100.06970294,40.0139381606,3.97222,43.66686
13,20054,63,100.07069572,40.0141366464,3.97705,43.66661
14,20268,57,200.13889818,60.0209064864,3.97667,43.66657
15,20480,60,300.210620625,80.0279770726,3.97155,43.66654
16,20789,50,100.06979384,40.0139563343,3.85926,43.66789
17,22277,50,100.07079416,40.0141563285,3.85429,43.66742
18,26006,53,200.13990227,60.0210057296,3.97681,43.66464
19,26090,55,200.141576925,60.021232972,3.86331,43.66617
20,27358,50,100.0707562,40.0141487382,3.90297,43.66523
21,27825,65,200.141391445,60.0211049735,3.97816,43.66408
22,32625,51,700.49648345,160.057020741,3.86675,43.66473
23,35032,55,100.071199655,40.0142373978,3.97805,43.66237
24,35392,54,100.07019179,40.014035896,3.97681,43.6623
25,35740,57,100.07071081,40.0141396634,3.9587,43.66247
26,35878,67,100.07080938,40.0141593714,3.82915,43.66415
27,41851,54,100.0707562,40.0141487392,3.8952,43.66201
28,43800,50,100.07019933,40.0140374035,3.978,43.66048
29,45844,51,100.07174895,40.014347218,3.91228,43.66096
30,45886,52,100.071245,40.0142464636,3.9222,43.66082
31,46486,61,100.07071836,40.0141411738,3.9486,43.66036
32,47577,53,100.07069572,40.0141366474,3.98417,43.65967
33,50001,54,100.071192115,40.0142358904,3.98243,43.65924
34,50206,53,100.0707562,40.0141487392,3.89962,43.66032
35,50414,50,100.071199655,40.0142373978,3.97065,43.65932
36,51964,50,100.071199655,40.0142373978,3.97795,43.65895
37,52340,64,100.07073348,40.0141441968,3.93072,43.65953
38,53340,52,100.071245,40.0142464636,3.91683,43.65955
39,54417,60,100.071229865,40.0142434377,3.93542,43.6591
40,54942,61,200.142959895,60.021414777,3.93573,43.65901
41,56288,52,100.071260155,40.0142494935,3.8924,43.65934
42,57298,57,100.07175653,40.0143487324,3.91099,43.65891
43,57734,58,200.143016685,60.0214238597,3.90101,43.65895
44,59336,53,200.14246729,60.0213155361,3.93521,43.65821
45,59343,51,200.14245595,60.0214147777,3.93701,43.65823
46,60843,52,100.071245,40.0142464636,3.92263,43.65811
47,63785,52,100.07174895,40.014347218,3.91555,43.65767
48,68891,51,100.0723213,40.0144616484,3.82106,43.65796
49,69681,50,100.07221508,40.0144404101,3.95208,43.65608
50,69786,62,200.14236916,60.0213019539,3.99187,43.65555
51,72368,63,100.07281004,40.0145593598,3.83171,43.65719
52,73456,52,100.07178689,40.0143548022,3.86071,43.65662
53,74477,50,100.072283255,40.0144540401,3.86281,43.65641
54,74923,63,100.07180971,40.0143593656,3.83207,43.65673
55,75236,60,300.21411798,80.0286793174,3.96173,43.65504
56,75975,50,100.07226807,40.0144510042,3.88388,43.65586
57,76976,50,200.14350169,60.0215215842,3.91238,43.65533
58,77451,54,500.359707225,120.043038626,3.92344,43.65517
59,79239,50,600.429808205,120.043021994,3.95255,43.65435
60,80167,58,200.1433921,60.0215049611,3.98147,43.65368
61,80369,51,100.07226807,40.0144510042,3.88447,43.65495
62,80868,50,100.07174138,40.0143457035,3.91596,43.65443
63,82297,52,200.142929665,60.0215109967,3.95871,43.6536
64,83134,59,100.07170359,40.0143381492,3.9711,43.65319
65,84569,52,100.07278722,40.0145547975,3.86003,43.65438
66,84843,56,900.65029626,200.071883199,3.97444,43.65279
67,86060,65,100.07170359,40.0143381492,3.97406,43.65252
68,86237,55,100.073275995,40.0146525159,3.87403,43.65383
69,86444,61,200.14339964,60.0215064691,3.97542,43.65246
70,87370,61,100.07277962,40.014553278,3.87328,43.65357
71,88329,53,200.144994615,60.0217200637,3.92211,43.65276
72,92305,63,100.07230607,40.0144586015,3.8357,43.65299
73,93626,53,100.07277962,40.014553278,3.86135,43.65238
74,94082,53,600.43817825,140.050936472,3.86992,43.65221
75,94162,55,100.07275686,40.0145487277,3.89741,43.6518
76,95493,53,100.07275686,40.0145487277,3.89703,43.65154
77,95531,53,100.072252905,40.0144479723,3.90893,43.65137
78,95858,58,100.072283255,40.0144540401,3.87113,43.6518
79,96591,60,100.07220753,40.0144389006,3.96482,43.6504
80,100190,58,100.07223776,40.0144449444,3.92105,43.6503
81,100384,52,100.07283291,40.0145639321,3.80578,43.65176
82,102614,53,100.07278722,40.0145547975,3.85671,43.65064
83,104061,53,100.07278722,40.0145547975,3.86774,43.65023
84,104192,58,100.07224533,40.0144464579,3.91806,43.64953
85,104270,54,300.21866102,80.0291815664,3.95041,43.64908
86,106128,50,100.073215415,40.0146404044,3.95473,43.64866
87,106389,54,100.07328359,40.0146540344,3.86723,43.64978
88,106450,53,100.07176411,40.0143502489,3.89165,43.64945
89,108593,50,100.07384088,40.0147654518,3.79186,43.65032
90,110565,65,100.07379516,40.0147563111,3.8563,43.64912
91,118329,59,100.07329879,40.0146570752,3.84176,43.64769
92,118446,50,200.1470256,60.0220253589,3.89766,43.64698
93,118706,50,100.07382562,40.0147624009,3.81288,43.64798
94,119331,50,100.07323053,40.0146434262,3.93458,43.64624
95,120319,56,500.368013495,120.04427654,3.842,43.64742
96,120409,53,100.073253235,40.0146479676,3.89554,43.64652
97,120426,50,100.07326082,40.014649482,3.90173,43.64643
98,121421,55,100.073215415,40.0146404044,3.95452,43.64551
99,123462,51,100.073802765,40.0147578326,3.83901,43.64665
100,124088,55,400.29452862,100.036673326,3.89893,43.64584
101,125076,52,200.147010435,60.0219215725,3.90735,43.64545
102,126043,57,100.07374962,40.0147472065,3.90344,43.64533
103,127159,57,100.07323053,40.0146434262,3.94458,43.64457
104,131715,58,100.07376478,40.0147502374,3.89077,43.64451
105,132113,51,600.44277096,140.051646329,3.85118,43.64505
106,132154,51,100.07428393,40.0148540286,3.86896,43.64472
107,132479,51,200.14917082,60.022445118,3.79987,43.64554
108,133067,50,200.14755992,60.0221291492,3.86914,43.64453
109,133106,50,300.21929366,80.0293004805,3.89019,43.64431
110,133116,65,100.07476512,40.0149502316,3.89164,43.64423
111,133173,51,100.07374962,40.0147472065,3.90861,43.64399
112,133595,66,100.07376478,40.0147502374,3.89857,43.64404
113,133864,51,100.074329605,40.0148631602,3.80971,43.64514
114,136325,59,100.07376478,40.0147502374,3.89769,43.64351
115,136615,52,100.07381038,40.014759354,3.83077,43.64433
116,136841,54,100.07374205,40.0147456921,3.92495,43.64305
117,137333,57,100.07373448,40.0147441796,3.93548,43.64281
118,138480,54,600.44482109,120.044374255,3.84109,43.64389
119,138658,50,200.146995285,60.0220192982,3.91522,43.64282
120,138666,53,100.073245665,40.0146464521,3.91689,43.6428
121,139578,54,100.074230865,40.0148434215,3.93646,43.64234
122,140405,51,100.074238435,40.014844933,3.92716,43.6423
123,140440,55,100.07323053,40.0146434262,3.93881,43.64213
124,142006,52,100.0737572,40.0147487209,3.90274,43.64227
125,146258,50,100.07428393,40.0148540286,3.86207,43.64193
126,146327,52,200.14752197,60.0221230834,3.89906,43.64143
127,147876,57,100.074291525,40.014855549,3.86206,43.64157
128,148766,52,100.07426116,40.0148494763,3.89304,43.64097
129,149144,50,100.074291525,40.014855549,3.8597,43.64133
130,149630,51,200.147014225,60.0221230822,3.9053,43.64066
131,150397,50,100.0747879,40.0149547859,3.85684,43.6411
132,151827,54,500.37274567,120.044440099,3.91597,43.64004
133,151854,54,100.074246,40.0148464474,3.92487,43.6399
134,153819,81,100.07371936,40.0147411567,3.94084,43.63931
135,156102,73,400.296908355,100.037055152,3.94003,43.63887
136,157386,55,100.07373448,40.0147441796,3.92955,43.63875
137,158077,58,200.1495758,60.0223321813,3.85897,43.63954
138,158179,52,100.07475754,40.0149487162,3.89807,43.63901
139,159122,52,100.074238435,40.014844933,3.92582,43.63844
140,159125,61,200.14847687,60.0223170209,3.92688,43.63843
141,159487,51,900.66679307,160.059393359,3.90368,43.63879
142,159788,52,100.0747879,40.0149547859,3.86002,43.63917
143,162419,59,400.298685645,100.037190769,3.84882,43.63884
144,162611,52,100.07425358,40.0148479608,3.90523,43.63801
145,163652,73,200.147972915,60.0222162666,3.93156,43.63746
146,163823,56,100.07481834,40.0149608717,3.83001,43.63875
147,163919,57,100.075291875,40.0150555423,3.85479,43.63843
148,166510,51,100.07425358,40.0148479608,3.90782,43.63725
149,168689,54,100.07481072,40.0149593482,3.8311,43.63784
150,170276,53,200.14961383,60.0225382592,3.84014,43.63749
151,170524,54,800.596006585,180.067164678,3.90971,43.63664
152,171525,55,500.374738795,120.04463858,3.91567,43.63626
153,176479,56,200.1495075,60.0225230709,3.90765,43.6355
154,178143,56,100.07581107,40.0151593424,3.83143,43.63612
155,179327,53,100.07425358,40.0148479608,3.91172,43.63486
156,182068,54,100.07477271,40.0149517491,3.87875,43.63477
157,184147,53,100.07525392,40.0150479561,3.89732,43.63416
158,184176,57,100.07575031,40.015147195,3.90563,43.63404
159,185669,57,100.075253925,40.0150479551,3.90872,43.63373
160,186051,55,100.0747803,40.0149532665,3.87414,43.63411
161,186101,51,200.15153094,60.022726097,3.88691,43.63398
162,186540,54,100.075269085,40.015050988,3.87426,43.63402
163,186636,52,100.075261505,40.0150494705,3.89719,43.63371
164,188919,56,500.37697475,100.037691515,3.84905,43.63398
165,189617,60,100.07524635,40.0150464407,3.91328,43.63295
166,190492,52,100.075261505,40.0150494705,3.89605,43.633
167,190828,50,200.15106492,60.0226314134,3.86247,43.63342
168,191939,58,100.07575789,40.0151487095,3.9036,43.63263
169,193388,53,100.07575031,40.015147195,3.91054,43.63226
170,196190,55,100.07575031,40.015147195,3.91213,43.6317
171,197557,55,100.07575788,40.0151487115,3.90036,43.63159
172,198179,50,100.075818685,40.0151608658,3.82576,43.63242
173,198852,57,600.453107465,120.045250683,3.88827,43.63152
174,199059,50,100.0753147,40.0150601075,3.82712,43.63222
175,199263,54,100.075269085,40.015050988,3.87928,43.63152
176,199295,55,100.07626944,40.0152509812,3.88486,43.63145
177,199818,79,100.07575031,40.015147195,3.91224,43.63098
178,200241,64,100.07575789,40.0151487095,3.91025,43.63092
179,200348,51,100.075818685,40.0151608658,3.82761,43.63194
180,201023,50,100.07576547,40.0151502259,3.88869,43.63103
181,201090,60,100.07575031,40.015147195,3.90814,43.63077
182,203932,80,100.07575031,40.015147195,3.90949,43.63012
183,206172,52,100.075322325,40.01506163,3.82002,43.63069
184,206415,55,100.07626185,40.0152494658,3.8982,43.62964
185,206784,62,100.075757885,40.0151487104,3.89881,43.62955
186,207866,55,100.076254275,40.0152479494,3.89955,43.62926
187,208208,64,100.07525392,40.0150479561,3.8988,43.62919
188,208982,54,100.07574274,40.0151456806,3.92953,43.62858
189,211525,54,100.075291875,40.0150555423,3.8574,43.62894
190,211664,54,100.07577305,40.0151517443,3.88627,43.62855
191,213325,50,100.07576547,40.0151502259,3.88093,43.62826
192,213980,56,200.1515917,60.0227336892,3.85188,43.62847
193,214749,59,100.07629222,40.0152555375,3.85751,43.62822
194,214970,61,1000.77006872,220.084218294,3.77517,43.6292
195,216777,55,100.07626944,40.0152509812,3.8798,43.62746
196,216876,52,100.07574273,40.0151456826,3.92527,43.62684
197,218551,54,100.07579585,40.0151562996,3.84646,43.62746
198,221140,57,200.15350132,60.0229200296,3.91353,43.62601
199,221344,52,100.07579585,40.0151562996,3.85611,43.6267
200,221445,56,100.07677341,40.0153517376,3.87717,43.62642
201,224645,51,300.229941705,80.0305186788,3.82697,43.62637
202,224748,55,200.153073225,60.0230314019,3.86433,43.62587
203,225917,54,400.30615785,100.038088465,3.8589,43.62577
204,226769,55,200.15256545,60.0229306445,3.87057,43.62538
205,227806,66,100.07581107,40.0151593424,3.83612,43.62553
206,228046,54,100.07676582,40.0153502201,3.88642,43.62485
207,228272,59,100.07680381,40.0153578152,3.8407,43.62538
208,228985,54,100.0763303,40.0152631486,3.80217,43.6257
209,230667,59,100.07632267,40.0152616252,3.82087,43.6251
210,230700,61,200.154119215,60.0230374825,3.83555,43.62491
211,233422,52,100.0767886,40.0153547744,3.86323,43.624
212,233741,66,100.077307795,40.0154585725,3.83436,43.62429
213,236576,65,100.076284625,40.0152540171,3.86284,43.62337
214,237991,58,100.07675824,40.0153487047,3.90792,43.62249
215,238020,53,200.15419548,60.0231504389,3.78466,43.62408
216,238530,61,100.07781178,40.0155593308,3.83099,43.62335
217,239430,50,100.07680381,40.0153578152,3.84312,43.62301
218,239701,52,100.07675824,40.0153487047,3.90445,43.62218
219,239722,60,100.07675066,40.0153471893,3.90977,43.6221
220,240997,53,100.07677341,40.0153517376,3.88226,43.62221
221,241550,55,100.07626185,40.0152494658,3.90122,43.62186
222,242292,55,100.07778136,40.0155532492,3.87049,43.6221
223,242874,55,100.07775102,40.0155471836,3.91025,43.62146
224,243834,63,100.077345915,40.0154661956,3.78921,43.62281
225,245794,50,2401.85113676,240.092467435,3.82345,43.62229
226,247020,58,600.46206892,140.053825011,3.89475,43.62102
227,247071,56,200.153997715,60.0230192695,3.91203,43.62063
228,247347,54,100.077284975,40.0154540123,3.86625,43.62117
229,248678,51,1000.7724104,200.077273099,3.85937,43.62116
230,249143,66,100.07678859,40.0153547754,3.85819,43.62091
231,249298,62,100.07676582,40.0153502201,3.89176,43.62046
232,250192,78,100.07576547,40.0151502259,3.88903,43.62032
233,250882,65,100.076307435,40.0152585793,3.83378,43.62088
234,250978,50,100.0767962,40.0153562938,3.85161,43.62064
235,251476,53,100.07729258,40.0154555307,3.85917,43.62045
236,253642,59,100.07781178,40.0155593308,3.83302,43.62035
237,254332,61,100.077277385,40.0154524929,3.8734,43.61972
238,254346,59,200.15455477,60.0233291146,3.877,43.61972
239,255144,52,100.07780416,40.0155578104,3.83685,43.62003
240,256020,50,300.232541755,80.0309308628,3.78829,43.62048
241,256721,50,200.15458516,60.0233336718,3.86299,43.61945
242,256956,54,100.07784228,40.0155654285,3.78977,43.62028
243,257363,52,500.385791915,100.038570997,3.90322,43.61882
244,257421,65,100.07684192,40.0153654343,3.79125,43.62017
245,257748,76,100.07776618,40.0155502144,3.88751,43.6189
246,257957,64,100.07781178,40.0155593308,3.83226,43.61955
247,259200,50,100.07775859,40.0155487,3.89246,43.61856
248,261193,52,100.07784228,40.0155654285,3.79693,43.61938
249,261387,54,300.232870495,80.0310103003,3.86288,43.61857
250,264954,54,300.23327958,80.031198152,3.89647,43.61745
251,265462,50,100.07726221,40.0154494591,3.90184,43.61726
252,265742,51,400.30965909,100.038686927,3.86269,43.61773
253,266143,50,200.155604525,60.0234374717,3.84523,43.61789
254,267324,51,100.07726221,40.0154494591,3.89638,43.61697
255,269605,53,200.15553236,60.0233245634,3.89209,43.61658
256,270271,64,100.077315405,40.0154600959,3.82638,43.61729
257,270315,52,300.233924095,80.0310179044,3.83435,43.61724
258,270558,61,300.233313715,80.031002707,3.88431,43.61657
259,272819,53,100.078323385,40.0156616135,3.825,43.61685
260,273915,55,200.15660869,60.0234359503,3.84104,43.61646
261,274450,51,100.078300545,40.0156570453,3.84172,43.61636
262,276074,56,100.078292935,40.0156555259,3.85707,43.61589
263,276217,56,300.23431786,80.0312027022,3.88242,43.61561
264,276266,56,200.156028745,60.0234253197,3.89225,43.61546
265,276534,50,100.078300545,40.0156570453,3.84319,43.61598
266,276703,55,300.23383287,80.0311034623,3.87577,43.61555
267,276881,50,100.078232275,40.0156433987,3.9356,43.61472
268,277743,58,100.078270155,40.0156509697,3.87874,43.61533
269,278253,60,100.07778136,40.0155532492,3.87354,43.61531
270,278850,51,100.07876654,40.0157502086,3.88877,43.61501
271,278907,53,100.0777586,40.015548698,3.90376,43.6148
272,279259,52,100.077788955,40.0155547686,3.86424,43.61525
273,282095,55,100.07776618,40.0155502144,3.88554,43.61451
274,284830,70,300.233802515,80.0312011841,3.88375,43.61412
275,285514,52,100.07783465,40.0155639021,3.8024,43.61499
276,286084,51,200.15666203,60.0233443287,3.80184,43.6149
277,287305,56,100.07781178,40.0155593308,3.83634,43.61427
278,287365,51,100.07779656,40.015556288,3.84922,43.6141
279,287569,51,100.07776618,40.0155502144,3.89022,43.61355
280,289386,56,100.078232275,40.0156433987,3.93567,43.61265
281,293924,52,100.07875896,40.0157486932,3.89465,43.61241
282,298089,57,200.1560667,60.0234298709,3.8641,43.61201
283,298346,54,400.3133088,100.039105176,3.81189,43.61266
284,298790,53,200.15765476,60.0235427985,3.81219,43.61252
285,298822,61,100.07881975,40.0157608494,3.82402,43.61236
286,298829,58,200.157135525,60.0235397524,3.8252,43.61235
287,299349,52,200.15611993,60.023437472,3.833,43.61216
288,300189,54,100.07882738,40.0157623718,3.81386,43.61223
289,301065,53,100.07882738,40.0157623718,3.80778,43.61213
290,301294,56,100.079278105,40.0158524824,3.87232,43.61127
291,302819,54,200.156991225,60.0235184987,3.91548,43.61041
292,304833,51,200.15811305,60.0236374662,3.8375,43.61106
293,306026,60,100.07976691,40.0159502029,3.89236,43.6101
294,306333,57,100.07879692,40.0157562822,3.85607,43.6105
295,306557,70,100.07875896,40.0157486932,3.9071,43.6098
296,307077,51,100.07874381,40.0157456634,3.91762,43.60957
297,307165,52,400.315798265,100.039201364,3.81711,43.61083
298,307302,56,600.47474803,140.055137872,3.86042,43.61028
299,307712,50,100.07880453,40.0157578036,3.84479,43.61038
