fid,id,LDEN,st_area_sh,st_length_,Long,Lat
1,3753,55,100.06875556,40.0137487506,3.90083,43.67804
2,4485,51,100.068281965,40.0136540632,3.86869,43.67758
3,4800,53,100.06928228,40.0138540574,3.86818,43.67723
4,6379,53,100.06875556,40.0137487506,3.902,43.67533
5,7830,50,100.06979384,40.0139563343,3.85831,43.67448
6,9205,52,100.06971049,40.0139396691,3.95884,43.6721
7,9769,54,100.06928988,40.0138555769,3.85989,43.67302
8,10769,53,100.070297805,40.0140570916,3.8533,43.67248
9,11186,54,100.069214105,40.0138404272,3.96067,43.67081
10,12438,52,200.139076115,60.021032979,3.86109,43.67152
11,14320,57,100.06970294,40.0139381606,3.96285,43.66916
12,14321,58,100.06971049,40.0139396691,3.96298,43.66916
13,15381,57,600.41874045,140.048784315,3.96526,43.66867
14,17534,60,200.14000055,60.0210223558,3.9105,43.6685
15,18188,52,300.211366965,80.0282103799,3.86301,43.66892
16,19298,52,100.07022198,40.0140419319,3.95152,43.66725
17,20393,62,100.07025225,40.0140479838,3.90898,43.6674
18,22781,59,200.140406205,60.0210072378,3.9707,43.66576
19,23042,63,100.06970294,40.0139381606,3.97776,43.66552
20,23763,56,100.07025225,40.0140479838,3.90759,43.66625
21,25041,55,100.07019179,40.014035896,3.97675,43.66491
22,28909,69,100.07031303,40.0140601355,3.82808,43.66579
23,31665,50,400.281790105,100.035243128,3.97612,43.66327
24,32089,54,2902.03867221,560.196917606,3.97932,43.66369
25,34706,50,100.07179449,40.0143563227,3.84503,43.66421
26,34911,52,100.07074105,40.0141457092,3.92239,43.66316
27,35652,52,100.07025225,40.0140479838,3.90974,43.66315
28,36889,58,100.07073348,40.0141441968,3.93068,43.66259
29,38123,50,200.14246351,60.0213155361,3.93284,43.66229
30,40325,50,200.141451845,60.0213140246,3.94194,43.66176
31,41106,57,300.21222315,80.028289906,3.92586,43.66182
32,43669,56,100.07173381,40.0143441911,3.92754,43.6612
33,43812,64,100.07069572,40.0141366474,3.97998,43.66045
34,44567,55,100.07073348,40.0141441968,3.93126,43.66096
35,46969,60,100.07022198,40.0140419319,3.94253,43.66035
