fid,DN
"1","54"
"2","56"
"3","53"
"4","55"
"5","54"
"6","50"
"7","55"
"8","51"
"9","55"
"10","53"
"11","53"
"12","60"
"13","53"
"14","51"
"15","50"
"16","52"
"17","55"
"18","57"
"19","53"
"20","54"
"21","50"
"22","52"
"23","52"
"24","50"
"25","54"
"26","51"
"27","55"
"28","50"
"29","51"
"30","54"
"31","52"
"32","60"
"33","52"
"34","50"
"35","51"
"36","59"
"37","50"
"38","51"
"39","54"
"40","50"
"41","56"
"42","52"
"43","62"
"44","60"
"45","51"
"46","61"
"47","53"
"48","59"
"49","54"
"50","55"
"51","55"
"52","58"
"53","52"
"54","57"
"55","55"
"56","55"
"57","52"
"58","53"
"59","57"
"60","52"
"61","56"
"62","51"
"63","54"
"64","54"
"65","56"
"66","58"
"67","50"
"68","53"
"69","51"
"70","52"
"71","53"
"72","60"
"73","63"
"74","54"
"75","53"
"76","52"
"77","58"
"78","54"
"79","50"
"80","55"
"81","55"
"82","54"
"83","56"
"84","51"
"85","56"
"86","55"
"87","51"
"88","57"
"89","61"
"90","51"
"91","59"
"92","57"
"93","53"
"94","63"
"95","65"
"96","59"
"97","63"
"98","50"
"99","59"
"100","52"
"101","54"
"102","65"
"103","62"
"104","52"
"105","54"
"106","65"
"107","58"
"108","55"
"109","56"
"110","64"
"111","60"
"112","51"
"113","53"
"114","51"
"115","54"
"116","52"
"117","53"
"118","53"
"119","52"
"120","56"
"121","52"
"122","52"
"123","56"
"124","51"
"125","59"
"126","65"
"127","65"
"128","51"
"129","53"
"130","56"
"131","55"
"132","50"
"133","50"
"134","53"
"135","56"
"136","74"
"137","63"
"138","51"
"139","50"
"140","57"
"141","52"
"142","58"
"143","65"
"144","62"
"145","66"
"146","54"
"147","65"
"148","50"
"149","61"
"150","52"
"151","62"
"152","57"
"153","50"
"154","59"
"155","50"
"156","69"
"157","82"
"158","58"
"159","53"
"160","78"
"161","55"
"162","53"
"163","66"
"164","64"
"165","54"
"166","59"
"167","51"
"168","57"
"169","69"
"170","51"
"171","71"
"172","57"
"173","53"
"174","58"
"175","53"
"176","74"
"177","51"
"178","65"
"179","54"
"180","54"
"181","82"
"182","62"
"183","50"
"184","51"
"185","51"
"186","53"
"187","61"
"188","51"
"189","63"
"190","57"
"191","52"
"192","50"
"193","61"
"194","56"
"195","55"
"196","55"
"197","53"
"198","64"
"199","54"
"200","56"
"201","54"
"202","56"
"203","51"
"204","69"
"205","50"
"206","61"
"207","57"
"208","56"
"209","53"
"210","55"
"211","77"
"212","65"
"213","53"
"214","52"
"215","61"
"216","69"
"217","52"
"218","80"
"219","56"
"220","64"
"221","64"
"222","52"
"223","53"
"224","51"
"225","55"
"226","57"
"227","50"
"228","51"
"229","53"
"230","52"
"231","51"
"232","67"
"233","52"
"234","69"
"235","54"
"236","75"
"237","51"
"238","53"
"239","58"
"240","50"
"241","52"
"242","53"
"243","51"
"244","63"
"245","51"
"246","53"
"247","52"
"248","59"
"249","69"
"250","54"
"251","55"
"252","57"
"253","54"
"254","56"
"255","56"
"256","54"
"257","58"
"258","50"
"259","58"
"260","54"
"261","51"
"262","52"
"263","63"
"264","54"
"265","53"
"266","67"
"267","51"
"268","55"
"269","50"
"270","59"
"271","54"
"272","51"
"273","57"
"274","60"
"275","51"
"276","57"
"277","61"
"278","60"
"279","59"
"280","50"
"281","63"
"282","53"
"283","53"
"284","50"
"285","66"
"286","62"
"287","50"
"288","57"
"289","53"
"290","54"
"291","64"
"292","58"
"293","54"
"294","58"
"295","57"
"296","56"
"297","50"
"298","52"
"299","64"
"300","56"
"301","54"
"302","62"
"303","56"
"304","63"
"305","51"
"306","54"
"307","61"
"308","54"
"309","51"
"310","60"
"311","57"
"312","54"
"313","50"
"314","57"
"315","60"
"316","53"
"317","63"
"318","56"
"319","51"
"320","54"
"321","59"
"322","50"
"323","53"
"324","64"
"325","64"
"326","73"
"327","58"
"328","58"
"329","70"
"330","70"
"331","65"
"332","72"
"333","55"
"334","50"
"335","50"
"336","64"
"337","58"
"338","51"
"339","71"
"340","56"
"341","66"
"342","53"
"343","59"
"344","61"
"345","63"
"346","54"
"347","57"
"348","51"
"349","61"
"350","59"
"351","51"
"352","61"
"353","55"
"354","52"
"355","55"
"356","60"
"357","60"
"358","72"
"359","54"
"360","54"
"361","52"
"362","53"
"363","55"
"364","68"
"365","53"
"366","58"
"367","56"
"368","62"
"369","63"
"370","60"
"371","54"
"372","56"
"373","66"
"374","53"
"375","62"
"376","63"
"377","50"
"378","56"
"379","72"
"380","61"
"381","55"
"382","56"
"383","74"
"384","52"
"385","60"
"386","50"
"387","56"
"388","61"
"389","59"
"390","56"
"391","60"
"392","50"
"393","59"
"394","57"
"395","66"
"396","61"
"397","75"
"398","50"
"399","55"
"400","78"
"401","53"
"402","57"
"403","56"
"404","72"
"405","56"
"406","82"
"407","54"
"408","52"
"409","61"
"410","77"
"411","58"
"412","78"
"413","60"
"414","56"
"415","56"
"416","52"
"417","54"
"418","52"
"419","50"
"420","77"
"421","69"
"422","64"
"423","60"
"424","60"
"425","62"
"426","71"
"427","58"
"428","53"
"429","67"
"430","77"
"431","78"
"432","53"
"433","67"
"434","58"
"435","75"
"436","72"
"437","55"
"438","57"
"439","51"
"440","66"
"441","74"
"442","57"
"443","69"
"444","68"
"445","65"
"446","59"
"447","56"
"448","58"
"449","52"
"450","58"
"451","58"
"452","81"
"453","61"
"454","53"
"455","67"
"456","64"
"457","54"
