fid,DN,X_Coord,Y_Coord
"1","54",3.83261485513992,43.6772251392124
"2","56",3.8630229306014,43.6774908728065
"3","53",3.98306239863269,43.6755319694096
"4","55",3.86664756817961,43.6716941178564
"5","54",3.846803114884,43.675844985671
"6","50",3.90025208955038,43.6729734017074
"7","55",3.91389725552265,43.6733836548045
"8","51",3.87284176387118,43.6750088258416
"9","55",3.85890832448418,43.6727107672744
"10","53",3.86313733810028,43.6724897700076
"11","53",3.97634615841424,43.6688157291915
"12","60",3.98178311478155,43.6680694802784
"13","53",3.88621133132271,43.6707959677951
"14","51",3.96597698681993,43.6708058947086
"15","50",3.86456433071561,43.6678210566559
"16","52",3.98050383093042,43.6654043055887
"17","55",3.87688183898867,43.6636985937872
"18","57",3.97297573749876,43.6709303982329
"19","53",3.97063260013317,43.6626526928009
"20","54",3.90266664981834,43.6639520368143
"21","50",3.91250358791387,43.6630364292587
"22","52",3.92342104725193,43.6682670228202
"23","52",3.87035507760478,43.6645470244923
"24","50",3.89221903093725,43.6628954878141
"25","54",3.85593508888334,43.6636407214225
"26","51",3.96469553762714,43.6601022396957
"27","55",3.88864843880623,43.6599275180395
"28","50",3.98216278151805,43.6684495760168
"29","51",3.90746984389076,43.6627309303614
"30","54",3.9694700077144,43.6597008317527
"31","52",3.96962991819579,43.6582616374202
"32","60",3.98135483279661,43.6599747653599
"33","52",3.97653632222995,43.659419907934
"34","50",3.8052527781552,43.6674813037951
"35","51",3.84622539113894,43.663834848872
"36","59",3.92997211881068,43.6599155686848
"37","50",3.95753681666868,43.6668840435052
"38","51",3.88240566030884,43.6592961200405
"39","54",3.92627704447281,43.6598892976772
"40","50",3.86291480065684,43.6573615698536
"41","56",3.93916316409828,43.6599140457279
"42","52",3.89700517702792,43.6599165839895
"43","62",3.82890469323654,43.6645403031128
"44","60",3.90833500059777,43.6570315567942
"45","51",3.94181036480365,43.6689589180692
"46","61",3.93317032843851,43.6575056969628
"47","53",3.87141645409133,43.6583895658053
"48","59",3.89812708865927,43.6537384552325
"49","54",3.8554538344822,43.6547436068298
"50","55",3.87498617291836,43.6583895658053
"51","55",3.96951511067069,43.65503882618
"52","58",3.80377990463823,43.6540582761953
"53","52",3.85828958035221,43.6544024644695
"54","57",3.87170073939158,43.6533683766899
"55","55",3.91062779633446,43.6564202439982
