fid,DN,X_Coord,Y_Coord
"1","55",3.86558932453846,43.6797545024323
"2","51",3.8673175898,43.6787499473
"3","53",3.868178238025,43.6777070237425
"4","52",3.86780076073333,43.6782662726067
"5","52",3.847749167,43.6714948269
"6","55",3.8600700258,43.67113207088
"7","52",3.9017435188,43.6714948269
"8","50",3.9604487872,43.67113207088
"9","52",3.9006563842,43.67076931486
"10","51",3.9017435188,43.67076931486
"11","52",3.9028306534,43.67076931486
"12","51",3.96096647034286,43.6705102034171
"13","51",3.84799075246667,43.6702856401667
"14","52",3.84799075246667,43.6697415061367
"15","52",3.8999316278,43.6696810468
"16","51",3.9006563842,43.6696810468
"17","50",3.9017435188,43.6696810468
"18","51",3.9028306534,43.6696810468
"19","52",3.9035554098,43.6696810468
"20","51",3.95026925412727,43.66839491182
"21","53",3.8479077074625,43.6700891473225
"22","53",3.86233781195484,43.6682651281413
"23","51",3.8615195386,43.66859277874
"24","52",3.9006563842,43.66859277874
"25","51",3.9017435188,43.66859277874
"26","52",3.9028306534,43.66859277874
"27","52",3.86200270953333,43.6681091040467
"28","52",3.9017435188,43.6678672667
"29","53",3.9015833982,43.6697232277325
"30","50",3.951026954,43.66750451068
"31","53",3.921085455225,43.6648291850325
"32","52",3.9213119416,43.66460246252
"33","55",3.96872773530769,43.6650768357769
"34","56",3.96926665673333,43.6647233811933
"35","51",3.9557378706,43.66387695048
"36","50",3.9557378706,43.66387695048
"37","56",3.9680587294,43.6642397065
"38","57",3.9687834858,43.6642397065
"39","50",3.80623097894286,43.66278868242
"40","54",3.9339951786,43.66333281645
"41","56",3.9687834858,43.66351419446
"42","55",3.9695082422,43.66351419446
"43","52",3.8908721728,43.66278868242
"44","53",3.9332704222,43.66278868242
"45","52",3.9339951786,43.66278868242
"46","53",3.934719935,43.6624259264
"47","52",3.9742191588,43.66278868242
"48","50",3.8905097946,43.66206317038
"49","51",3.891234551,43.66206317038
"50","52",3.90838711913333,43.6618213330333
"51","52",3.9108029738,43.66206317038
"52","52",3.9332704222,43.66206317038
"53","51",3.9339951786,43.66206317038
"54","52",3.9731320242,43.66133765834
"55","51",3.9742191588,43.66206317038
"56","52",3.9753062934,43.66206317038
"57","52",3.9898014214,43.66133765834
"58","51",3.8064380522,43.6628854173587
"59","52",3.8060881698,43.663013841329
"60","58",3.8289055006,43.66133765834
"61","52",3.8673175898,43.66151903635
"62","52",3.9071791918,43.66133765834
"63","51",3.9079039482,43.66133765834
"64","51",3.911165352,43.66097490232
"65","57",3.9307337748,43.66133765834
"66","56",3.9318209094,43.66133765834
"67","55",3.9325456658,43.66133765834
"68","53",3.9336328004,43.66133765834
"69","54",3.934719935,43.66133765834
"70","50",3.9742191588,43.66133765834
"71","51",3.9753062934,43.66133765834
"72","52",3.9876271522,43.66133765834
"73","51",3.9887142868,43.66133765834
"74","53",3.80588637195522,43.6632218239364
"75","60",3.8310797698,43.6606121463
"76","59",3.8325292826,43.6606121463
"77","52",3.89582467486667,43.6603703089533
"78","52",3.9079039482,43.6606121463
"79","53",3.9086287046,43.6606121463
"80","54",3.909353461,43.6606121463
"81","57",3.9325456658,43.6606121463
"82","56",3.9336328004,43.6606121463
"83","55",3.934719935,43.6606121463
"84","51",3.9742191588,43.6606121463
"85","51",3.9876271522,43.66024939028
"86","50",3.9887142868,43.66024939028
"87","51",3.9898014214,43.66024939028
"88","61",3.8303550134,43.65988663426
"89","61",3.8318045262,43.65952387824
"90","60",3.8325292826,43.65952387824
"91","55",3.9086287046,43.65988663426
"92","57",3.909353461,43.65988663426
"93","56",3.9100782174,43.65988663426
"94","54",3.9108029738,43.65988663426
"95","52",3.9198624288,43.65988663426
"96","54",3.92622993145714,43.65988663426
"97","59",3.931096153,43.65988663426
"98","59",3.932908044,43.65988663426
"99","58",3.9339951786,43.65988663426
"100","52",3.97538682188889,43.6600478591578
"101","55",3.978205319,43.65952387824
"102","56",3.9789300754,43.65952387824
"103","57",3.9796548318,43.65988663426
"104","58",3.9811043446,43.65988663426
"105","62",3.83083818433333,43.6594029595667
"106","60",3.909353461,43.65916112222
"107","58",3.9100782174,43.65916112222
"108","54",3.9122524866,43.65916112222
"109","59",3.9318209094,43.65916112222
"110","60",3.9325456658,43.65916112222
"111","61",3.9332704222,43.65916112222
"112","59",3.9339951786,43.65916112222
"113","54",3.9687834858,43.65916112222
"114","54",3.9869023958,43.65916112222
"115","52",3.9876271522,43.65916112222
"116","51",3.9887142868,43.65916112222
"117","52",3.9898014214,43.65916112222
"118","53",3.98928982864706,43.6614230126976
"119","56",3.98271141313913,43.6609591303191
"120","58",3.8281807442,43.65952387824
"121","59",3.82979131397778,43.6604509214022
"122","53",3.91945173350667,43.660176839076
"123","57",3.93194880758824,43.6580941927494
"124","58",3.931096153,43.6596447969133
"125","60",3.829630257,43.65916112222
"126","53",3.91056791767027,43.66133765834
"127","52",3.86379734442857,43.6585392547571
"128","52",3.8995692496,43.6587983662
"129","57",3.9086287046,43.6587983662
"130","53",3.95922464385589,43.6673564267157
"131","51",3.961581219075,43.658526299185
"132","50",3.9617171109,43.65825423217
"133","51",3.9653408929,43.65843561018
"134","59",3.98139424716,43.658725814996
"135","55",3.98641922486667,43.6586774475267
"136","50",3.79150807036,43.657855200548
"137","61",3.8307173916,43.65843561018
"138","60",3.8318045262,43.65843561018
"139","59",3.8325292826,43.65843561018
"140","52",3.8615195386,43.65807285416
"141","51",3.8627878623,43.65825423217
"142","58",3.909353461,43.65843561018
"143","57",3.9100782174,43.65843561018
"144","53",3.91268734044,43.657419893324
"145","51",3.912977243,43.65843561018
"146","56",3.93308458722564,43.6579891412323
"147","59",3.932908044,43.65843561018
"148","58",3.9339951786,43.65843561018
"149","51",3.95370855268,43.658725814996
"150","52",3.967333973,43.65771009814
"151","54",3.9767558062,43.65843561018
"152","60",3.98086275913333,43.6581937728333
"153","54",3.9876271522,43.65843561018
"154","53",3.989076665,43.65843561018
"155","54",3.99001730628511,43.6625416995979
"156","58",3.8289055006,43.65771009814
"157","59",3.8299926352,43.65771009814
"158","60",3.8310797698,43.65771009814
"159","59",3.8318045262,43.65771009814
"160","50",3.8633314296,43.65771009814
"161","56",3.909353461,43.65771009814
"162","52",3.91346041393333,43.6579519354867
"163","58",3.932908044,43.65771009814
"164","50",3.95370855268,43.658000302956
"165","50",3.9666092166,43.65771009814
"166","54",3.97209665791429,43.6579173872943
"167","59",3.98062117366667,43.6572264234467
"168","56",3.9865400176,43.65771009814
"169","55",3.9883519086,43.65771009814
"170","54",3.9898014214,43.65771009814
"171","58",3.83196558317778,43.65952387824
"172","57",3.83073715768364,43.6599525899
"173","53",3.85540807922703,43.6556512126211
"174","52",3.862244295,43.6569845861
"175","51",3.8633314296,43.6569845861
"176","53",3.88297232804,43.656549278876
"177","52",3.89872370046667,43.6567427487533
"178","52",3.90181599444,43.656549278876
"179","51",3.94945664846667,43.6567427487533
"180","51",3.9535636014,43.6569845861
"181","51",3.9666092166,43.6569845861
"182","56",3.989076665,43.6569845861
"183","51",3.79136311908,43.6579035680174
"184","52",3.7910369787,43.6570543468731
"185","52",3.8542719746,43.65553356202
"186","52",3.8633314296,43.65625907406
"187","53",3.86469034785,43.6597657155867
"188","53",3.8709413718,43.65625907406
"189","52",3.88374540153333,43.6560172367133
"190","53",3.8847117434,43.65589631804
"191","51",3.90258906793333,43.6560172367133
"192","52",3.9035554098,43.65589631804
"193","57",3.98398205383529,43.6568992317424
"194","51",3.8542719746,43.65553356202
"195","51",3.8832622306,43.65553356202
"196","50",3.902105897,43.65553356202
"197","52",3.95667675957273,43.6643433510771
"198","56",3.97583778142666,43.6563074415293
"199","59",3.98704734708,43.655388459612
"200","58",3.989076665,43.65553356202
"201","54",3.8832622306,43.65480804998
"202","53",3.883986987,43.65480804998
"203","56",3.8977573586,43.65480804998
"204","55",3.8992068714,43.65480804998
"205","53",3.9013811406,43.65480804998
"206","52",3.9024682752,43.65480804998
"207","56",3.9716825114,43.65480804998
"208","57",3.9724072678,43.65480804998
"209","58",3.9738567806,43.65480804998
"210","57",3.97767822343637,43.65606120714
"211","59",3.9796548318,43.65480804998
"212","61",3.987264774,43.65444529396
"213","60",3.9883519086,43.65444529396
"214","56",3.87190771366667,43.6535988632467
"215","57",3.8723908846,43.65408253794
"216","56",3.873115641,43.65408253794
"217","56",3.8963078458,43.65371978192
"218","57",3.8970326022,43.65371978192
"219","59",3.8977573586,43.65408253794
"220","53",3.89582670499664,43.6606792104382
"221","54",3.9223990762,43.65408253794
"222","56",3.970957755,43.65371978192
"223","57",3.9716825114,43.65408253794
"224","59",3.9724072678,43.65408253794
"225","60",3.9734944024,43.65408253794
"226","59",3.974581537,43.65408253794
"227","58",3.9767558062,43.65408253794
"228","59",3.978205319,43.65408253794
"229","60",3.9796548318,43.65408253794
"230","59",3.9811043446,43.65408253794
"231","60",3.9861776394,43.65408253794
"232","58",3.89824052953333,43.6535988632467
"233","53",3.9223990762,43.6533570259
"234","53",3.9561002488,43.6533570259
"235","56",3.9593616526,43.6533570259
"236","55",3.960086409,43.6533570259
"237","54",3.9608111654,43.6533570259
"238","52",3.96201909273333,43.6535988632467
"239","58",3.9716825114,43.6533570259
"240","61",3.9724072678,43.6533570259
"241","63",3.9734944024,43.6533570259
"242","61",3.974581537,43.6533570259
"243","59",3.9753062934,43.6533570259
"244","59",3.9861776394,43.6533570259
"245","60",3.987264774,43.6533570259
"246","54",3.95995758289263,43.6726107293364
"247","54",3.90082736817534,43.6645257479101
"248","54",3.8760396582,43.6530568140214
"249","53",3.79067287488952,43.65771009814
"250","54",3.85938130701105,43.6690336976593
"251","55",3.95849194492,43.653502128308
"252","60",3.9783865081,43.65245013585
"253","61",3.9789300754,43.65299426988
"254","62",3.9796548318,43.65299426988
"255","61",3.9803795882,43.65299426988
"256","60",3.9811043446,43.65299426988
"257","53",3.87577308113333,43.6528733512067
"258","56",3.898482115,43.65299426988
"259","56",3.92047568421538,43.65081773376
"260","58",3.9209495634,43.65263151386
"261","56",3.9216743198,43.65263151386
"262","54",3.92288224713333,43.6528733512067
"263","52",3.95597945606667,43.6523896765133
"264","53",3.9571873834,43.65226875784
"265","57",3.9586368962,43.65263151386
"266","58",3.9593616526,43.65263151386
"267","57",3.960086409,43.65263151386
"268","55",3.9608111654,43.65263151386
"269","54",3.9615359218,43.65263151386
"270","53",3.95917461869032,43.6553931403349
"271","57",3.970957755,43.65226875784
"272","59",3.9716825114,43.65263151386
"273","62",3.9724072678,43.65263151386
"274","65",3.9731320242,43.65263151386
"275","64",3.9738567806,43.65263151386
"276","62",3.974581537,43.65263151386
"277","60",3.9753062934,43.65226875784
"278","59",3.97687659893333,43.6525105951867
"279","59",3.981829101,43.65263151386
"280","59",3.9883519086,43.6533570259
"281","54",3.79662641758487,43.6613611884602
"282","56",3.86973344446667,43.6514223271267
"283","53",3.9325456658,43.65190600182
"284","53",3.9390684734,43.65190600182
"285","51",3.956462627,43.65190600182
"286","56",3.9579121398,43.65190600182
"287","59",3.9586368962,43.65190600182
"288","61",3.9593616526,43.65190600182
"289","60",3.960086409,43.65190600182
"290","57",3.9608111654,43.65190600182
"291","55",3.9615359218,43.65190600182
"292","54",3.96653156412857,43.6518282683871
"293","53",3.9669715948,43.65118048978
"294","58",3.9716825114,43.6515432458
"295","61",3.9724072678,43.65190600182
"296","63",3.9734944024,43.65190600182
"297","61",3.974581537,43.65190600182
"298","61",3.9796548318,43.65190600182
"299","60",3.9803795882,43.65190600182
"300","57",3.9204059961,43.65099911177
"301","53",3.931096153,43.65045497774
"302","52",3.9318209094,43.65118048978
"303","51",3.9325456658,43.65118048978
"304","52",3.9332704222,43.65118048978
"305","53",3.9339951786,43.65045497774
"306","53",3.9376189606,43.65045497774
"307","52",3.938343717,43.65118048978
"308","51",3.9390684734,43.65118048978
"309","52",3.9397932298,43.65118048978
"310","53",3.9405179862,43.65081773376
"311","55",3.9550131142,43.65118048978
