fid,DN,X_Coord,Y_Coord
"489","59",,
"490","54",,
"491","53",,
"492","52",,
"493","57",,
"494","58",,
"495","59",,
"496","60",,
"497","61",,
"498","58",,
"499","59",,
"500","61",,
"501","62",,
"502","60",,
"503","59",,
"504","58",,
"505","52",,
"506","51",,
"507","52",,
"508","54",,
"509","53",,
"510","51",,
"511","52",,
"512","53",,
"513","58",,
"514","59",,
"515","60",,
"516","59",,
"517","60",,
"518","63",,
"519","65",,
"520","62",,
"521","60",,
"522","52",,
"523","52",,
"524","53",,
"525","56",,
"526","52",,
"527","50",,
"528","52",,
"529","58",,
"530","60",,
"531","62",,
"532","61",,
"533","59",,
"534","58",,
"535","61",,
"536","62",,
"537","61",,
"538","52",,
"539","53",,
"540","59",,
"541","58",,
"542","57",,
"543","56",,
"544","63",,
"545","62",,
"546","57",,
"547","59",,
"548","60",,
"549","59",,
"550","52",,
"551","51",,
"552","54",,
"553","53",,
"554","59",,
"555","60",,
"556","62",,
"557","61",,
"558","60",,
"559","59",,
"560","58",,
"561","52",,
"562","52",,
"563","56",,
"564","58",,
"565","59",,
"566","60",,
"567","58",,
"568","58",,
"569","52",,
"570","53",,
"571","52",,
"572","53",,
"573","60",,
"574","62",,
"575","63",,
"576","64",,
"577","63",,
"578","62",,
"579","61",,
"580","60",,
"581","59",,
"582","58",,
"583","57",,
"584","53",,
"585","54",,
"586","57",,
"587","56",,
"588","52",,
"589","53",,
"590","56",,
"591","50",,
"592","56",,
"593","58",,
"594","57",,
"595","56",,
"596","53",,
"597","52",,
"598","50",,
"599","52",,
"600","55",,
"601","53",,
"602","58",,
"603","60",,
"604","61",,
"605","63",,
"606","64",,
"607","65",,
"608","66",,
"609","65",,
"610","63",,
"611","62",,
"612","60",,
"613","51",,
"614","53",,
"615","54",,
"616","54",,
"617","53",,
"618","52",,
"619","54",,
"620","53",,
"621","52",,
"622","53",,
"623","57",,
"624","62",,
"625","64",,
"626","66",,
"627","70",,
"628","72",,
"629","69",,
"630","68",,
"631","66",,
"632","64",,
"633","62",,
"634","60",,
"635","53",,
"636","52",,
"637","53",,
"638","55",,
"639","52",,
"640","52",,
"641","51",,
"642","52",,
"643","56",,
"644","54",,
"645","53",,
"646","54",,
"647","59",,
"648","62",,
"649","61",,
"650","61",,
"651","65",,
"652","69",,
"653","77",,
"654","81",,
"655","71",,
"656","69",,
"657","67",,
"658","65",,
"659","61",,
"660","51",,
"661","56",,
"662","53",,
"663","51",,
"664","53",,
"665","54",,
"666","52",,
"667","53",,
"668","55",,
"669","56",,
"670","55",,
"671","56",,
"672","60",,
"673","60",,
"674","75",,
"675","77",,
"676","55",,
"677","56",,
"678","57",,
"679","53",,
"680","52",,
"681","54",,
"682","54",,
"683","64",,
"684","67",,
"685","70",,
"686","71",,
"687","69",,
"688","67",,
"689","66",,
"690","64",,
"691","51",,
"692","53",,
"693","52",,
"694","51",,
"695","54",,
"696","54",,
"697","53",,
"698","55",,
"699","56",,
"700","58",,
"701","60",,
"702","61",,
"703","63",,
"704","65",,
"705","66",,
"706","67",,
"707","66",,
"708","65",,
"709","64",,
"710","63",,
"711","51",,
"712","50",,
"713","54",,
"714","51",,
"715","50",,
"716","51",,
"717","52",,
"718","50",,
"719","51",,
"720","51",,
"721","56",,
"722","55",,
"723","54",,
"724","56",,
"725","58",,
"726","58",,
"727","60",,
"728","62",,
"729","63",,
"730","64",,
"731","63",,
"732","62",,
"733","61",,
"734","51",,
"735","52",,
"736","51",,
"737","54",,
"738","55",,
"739","56",,
"740","58",,
"741","59",,
"742","58",,
"743","59",,
"744","61",,
"745","63",,
"746","65",,
"747","62",,
"748","61",,
"749","61",,
"750","62",,
"751","61",,
"752","59",,
"753","52",,
"754","52",,
"755","51",,
"756","52",,
"757","52",,
"758","60",,
"759","51",,
"760","53",,
"761","53",,
"762","53",,
"763","59",,
"764","61",,
"765","62",,
"766","61",,
"767","60",,
"768","61",,
"769","63",,
"770","68",,
"771","73",,
"772","69",,
"773","65",,
"774","62",,
"775","60",,
"776","61",,
"777","53",,
"778","55",,
"779","54",,
"780","60",,
"781","63",,
"782","66",,
"783","63",,
"784","64",,
"785","69",,
"786","68",,
"787","60",,
"788","52",,
"789","53",,
"790","50",,
"791","51",,
"792","54",,
"793","53",,
"794","52",,
"795","53",,
"796","55",,
"797","62",,
"798","64",,
"799","63",,
"800","65",,
"801","66",,
"802","64",,
"803","52",,
"804","51",,
"805","51",,
"806","51",,
"807","50",,
"808","52",,
"809","52",,
"810","50",,
"811","59",,
"812","60",,
"813","59",,
"814","61",,
"815","62",,
"816","63",,
"817","64",,
"818","63",,
"819","62",,
"820","61",,
"821","50",,
"822","56",,
"823","52",,
"824","51",,
"825","50",,
"826","51",,
"827","50",,
"828","51",,
"829","52",,
"830","53",,
"831","51",,
"832","52",,
"833","53",,
"834","52",,
"835","53",,
"836","55",,
"837","54",,
"838","53",,
"839","54",,
"840","56",,
"841","59",,
"842","60",,
"843","61",,
"844","60",,
"845","61",,
"846","60",,
"847","60",,
"848","63",,
"849","64",,
"850","61",,
"851","53",,
"852","52",,
"853","57",,
"854","56",,
"855","51",,
"856","53",,
"857","52",,
"858","51",,
"859","52",,
"860","50",,
"861","54",,
"862","53",,
"863","51",,
"864","53",,
"865","54",,
"866","57",,
"867","59",,
"868","60",,
"869","61",,
"870","62",,
"871","61",,
"872","62",,
"873","61",,
"874","61",,
"875","61",,
"876","53",,
"877","56",,
"878","59",,
"879","58",,
"880","52",,
"881","53",,
"882","53",,
"883","54",,
"884","55",,
"885","58",,
"886","60",,
"887","61",,
"888","62",,
"889","63",,
"890","64",,
"891","65",,
"892","62",,
"893","60",,
"894","60",,
"895","61",,
"896","58",,
"897","57",,
"898","51",,
"899","58",,
"900","55",,
"901","51",,
"902","53",,
"903","54",,
"904","55",,
"905","58",,
"906","59",,
"907","60",,
"908","59",,
"909","60",,
"910","61",,
"911","62",,
"912","63",,
"913","64",,
"914","65",,
"915","66",,
"916","70",,
"917","71",,
"918","58",,
"919","59",,
"920","60",,
"921","58",,
"922","59",,
"923","52",,
"924","53",,
"925","57",,
"926","53",,
"927","54",,
"928","51",,
"929","56",,
"930","53",,
"931","54",,
"932","56",,
"933","57",,
"934","53",,
"935","57",,
"936","56",,
"937","54",,
"938","55",,
"939","60",,
"940","62",,
"941","63",,
"942","61",,
"943","60",,
"944","61",,
"945","63",,
"946","65",,
"947","66",,
"948","68",,
"949","71",,
"950","73",,
"951","56",,
"952","53",,
"953","58",,
"954","55",,
"955","54",,
"956","56",,
"957","53",,
"958","55",,
"959","54",,
"960","55",,
"961","61",,
"962","63",,
"963","65",,
"964","62",,
"965","61",,
"966","62",,
"967","64",,
"968","67",,
"969","70",,
"970","67",,
"971","69",,
"972","67",,
"973","65",,
"974","58",,
"975","56",,
"976","54",,
"977","53",,
"978","52",,
"979","53",,
"980","54",,
"981","51",,
"982","57",,
"983","54",,
"984","53",,
"985","57",,
"986","56",,
"987","54",,
"988","60",,
"989","62",,
"990","63",,
"991","64",,
"992","66",,
"993","65",,
"994","63",,
"995","62",,
"996","66",,
"997","69",,
"998","66",,
"999","65",,
"1000","64",,
"1001","62",,
"1002","60",,
"1003","56",,
"1004","55",,
"1005","56",,
"1006","52",,
"1007","51",,
"1008","53",,
"1009","54",,
"1010","50",,
"1011","57",,
"1012","58",,
"1013","57",,
"1014","54",,
"1015","57",,
"1016","59",,
"1017","57",,
"1018","56",,
"1019","61",,
"1020","67",,
"1021","73",,
"1022","69",,
"1023","64",,
"1024","64",,
"1025","63",,
"1026","62",,
"1027","61",,
"1028","54",,
"1029","53",,
"1030","55",,
"1031","57",,
"1032","58",,
"1033","59",,
"1034","58",,
"1035","58",,
"1036","57",,
"1037","56",,
"1038","57",,
"1039","56",,
"1040","53",,
"1041","58",,
"1042","61",,
"1043","58",,
"1044","58",,
"1045","61",,
"1046","65",,
"1047","70",,
"1048","67",,
"1049","63",,
"1050","61",,
"1051","62",,
"1052","61",,
"1053","60",,
"1054","58",,
"1055","59",,
"1056","55",,
"1057","53",,
"1058","53",,
"1059","52",,
"1060","57",,
"1061","58",,
"1062","59",,
"1063","61",,
"1064","60",,
"1065","58",,
"1066","58",,
"1067","60",,
"1068","58",,
"1069","53",,
"1070","54",,
"1071","55",,
"1072","57",,
"1073","58",,
"1074","59",,
"1075","57",,
"1076","59",,
"1077","61",,
"1078","63",,
"1079","61",,
"1080","56",,
"1081","57",,
"1082","56",,
"1083","54",,
"1084","53",,
"1085","59",,
"1086","61",,
"1087","63",,
"1088","50",,
"1089","53",,
"1090","56",,
"1091","61",,
"1092","57",,
"1093","56",,
"1094","58",,
"1095","59",,
"1096","60",,
"1097","53",,
"1098","57",,
"1099","58",,
"1100","59",,
"1101","58",,
"1102","58",,
"1103","60",,
"1104","53",,
"1105","54",,
"1106","53",,
"1107","54",,
"1108","60",,
"1109","61",,
"1110","60",,
"1111","59",,
"1112","58",,
"1113","55",,
"1114","55",,
"1115","56",,
"1116","60",,
"1117","54",,
"1118","59",,
"1119","57",,
"1120","56",,
"1121","54",,
"1122","51",,
"1123","53",,
"1124","57",,
"1125","61",,
"1126","62",,
"1127","61",,
"1128","58",,
"1129","55",,
"1130","54",,
"1131","56",,
"1132","56",,
"1133","56",,
"1134","55",,
"1135","56",,
"1136","52",,
"1137","58",,
"1138","59",,
"1139","62",,
"1140","63",,
"1141","65",,
"1142","66",,
"1143","64",,
"1144","62",,
"1145","56",,
"1146","58",,
"1147","54",,
"1148","56",,
"1149","57",,
"1150","58",,
"1151","57",,
"1152","56",,
"1153","53",,
"1154","60",,
"1155","62",,
"1156","64",,
"1157","65",,
"1158","70",,
"1159","73",,
"1160","66",,
"1161","55",,
"1162","52",,
"1163","53",,
"1164","55",,
"1165","56",,
"1166","58",,
"1167","58",,
"1168","59",,
"1169","58",,
"1170","57",,
"1171","54",,
"1172","59",,
"1173","57",,
"1174","59",,
"1175","60",,
"1176","58",,
"1177","62",,
"1178","64",,
"1179","66",,
"1180","74",,
"1181","61",,
"1182","56",,
"1183","54",,
"1184","54",,
"1185","53",,
"1186","55",,
"1187","58",,
"1188","59",,
"1189","60",,
"1190","61",,
"1191","60",,
"1192","59",,
"1193","58",,
"1194","59",,
"1195","60",,
"1196","61",,
"1197","59",,
"1198","52",,
"1199","56",,
"1200","57",,
"1201","53",,
"1202","57",,
"1203","59",,
"1204","67",,
"1205","69",,
"1206","67",,
"1207","66",,
"1208","65",,
"1209","62",,
"1210","59",,
"1211","56",,
"1212","55",,
"1213","55",,
"1214","61",,
"1215","62",,
"1216","63",,
"1217","62",,
"1218","60",,
"1219","53",,
"1220","57",,
"1221","60",,
"1222","62",,
"1223","63",,
"1224","60",,
"1225","57",,
"1226","53",,
"1227","55",,
"1228","56",,
"1229","53",,
"1230","52",,
"1231","56",,
"1232","60",,
"1233","74",,
"1234","72",,
"1235","62",,
"1236","60",,
"1237","57",,
"1238","54",,
"1239","53",,
"1240","54",,
"1241","55",,
"1242","63",,
"1243","64",,
"1244","52",,
"1245","57",,
"1246","59",,
"1247","63",,
"1248","62",,
"1249","61",,
"1250","58",,
"1251","56",,
"1252","54",,
"1253","53",,
"1254","52",,
"1255","54",,
"1256","53",,
"1257","53",,
"1258","58",,
"1259","72",,
"1260","71",,
"1261","69",,
"1262","66",,
"1263","64",,
"1264","59",,
"1265","57",,
"1266","55",,
"1267","54",,
"1268","55",,
"1269","60",,
"1270","62",,
"1271","61",,
"1272","59",,
"1273","57",,
"1274","57",,
"1275","59",,
"1276","60",,
"1277","59",,
"1278","59",,
"1279","60",,
"1280","58",,
"1281","56",,
"1282","52",,
"1283","51",,
"1284","56",,
"1285","55",,
"1286","58",,
"1287","61",,
"1288","66",,
"1289","67",,
"1290","64",,
"1291","61",,
"1292","55",,
"1293","52",,
"1294","59",,
"1295","57",,
"1296","58",,
"1297","53",,
"1298","53",,
"1299","53",,
"1300","52",,
"1301","53",,
"1302","58",,
"1303","59",,
"1304","58",,
"1305","57",,
"1306","54",,
"1307","58",,
"1308","61",,
"1309","62",,
"1310","60",,
"1311","57",,
"1312","58",,
"1313","57",,
"1314","56",,
"1315","54",,
"1316","52",,
"1317","51",,
"1318","52",,
"1319","57",,
"1320","58",,
"1321","56",,
"1322","52",,
"1323","54",,
"1324","53",,
"1325","54",,
"1326","55",,
"1327","54",,
"1328","57",,
"1329","60",,
"1330","63",,
"1331","64",,
"1332","63",,
"1333","61",,
"1334","59",,
"1335","56",,
"1336","55",,
"1337","54",,
"1338","55",,
"1339","56",,
"1340","55",,
"1341","53",,
"1342","50",,
"1343","51",,
"1344","52",,
"1345","51",,
"1346","52",,
"1347","56",,
"1348","57",,
"1349","52",,
"1350","51",,
"1351","52",,
"1352","55",,
"1353","54",,
"1354","52",,
"1355","56",,
"1356","59",,
"1357","60",,
"1358","61",,
"1359","59",,
"1360","57",,
"1361","56",,
"1362","55",,
"1363","53",,
"1364","51",,
"1365","53",,
"1366","54",,
"1367","57",,
"1368","59",,
"1369","58",,
"1370","57",,
"1371","52",,
"1372","55",,
"1373","54",,
"1374","53",,
"1375","54",,
"1376","53",,
"1377","55",,
"1378","58",,
"1379","59",,
"1380","53",,
"1381","54",,
"1382","58",,
"1383","55",,
"1384","54",,
"1385","53",,
"1386","54",,
"1387","55",,
"1388","54",,
"1389","52",,
"1390","50",,
"1391","52",,
"1392","54",,
"1393","57",,
"1394","57",,
"1395","55",,
"1396","53",,
"1397","54",,
"1398","55",,
"1399","55",,
"1400","53",,
"1401","51",,
"1402","52",,
"1403","54",,
"1404","54",,
"1405","53",,
"1406","52",,
"1407","53",,
"1408","55",,
"1409","53",,
"1410","54",,
"1411","53",,
"1412","53",,
"1413","52",,
"1414","53",,
"1415","54",,
"1416","53",,
"1417","54",,
"1418","54",,
"1419","53",,
"1420","54",,
"1421","59",,
"1422","58",,
"1423","57",,
"1424","56",,
"1425","55",,
"1426","54",,
"1427","53",,
"1428","51",,
"1429","52",,
"1430","53",,
"1431","51",,
"1432","52",,
"1433","53",,
"1434","57",,
"1435","58",,
"1436","54",,
"1437","53",,
"1438","54",,
"1439","55",,
"1440","51",,
"1441","52",,
"1442","62",,
"1443","59",,
"1444","58",,
"1445","54",,
"1446","53",,
"1447","52",,
"1448","50",,
"1449","51",,
"1450","52",,
"1451","56",,
"1452","55",,
"1453","56",,
"1454","55",,
"1455","53",,
"1456","53",,
"1457","52",,
"1458","53",,
"1459","52",,
"1460","57",,
"1461","53",,
"1462","54",,
"1463","55",,
"1464","54",,
"1465","55",,
"1466","55",,
"1467","59",,
"1468","60",,
"1469","57",,
"1470","54",,
"1471","58",,
"1472","61",,
"1473","60",,
"1474","54",,
"1475","52",,
"1476","53",,
"1477","56",,
"1478","58",,
"1479","55",,
"1480","53",,
"1481","54",,
"1482","53",,
"1483","50",,
"1484","51",,
"1485","53",,
"1486","51",,
"1487","51",,
"1488","54",,
"1489","57",,
"1490","58",,
"1491","54",,
"1492","53",,
"1493","52",,
"1494","51",,
"1495","53",,
"1496","54",,
"1497","55",,
"1498","54",,
"1499","60",,
"1500","57",,
"1501","54",,
"1502","55",,
"1503","54",,
"1504","57",,
"1505","55",,
"1506","54",,
"1507","53",,
"1508","51",,
"1509","52",,
"1510","52",,
"1511","52",,
"1512","56",,
"1513","54",,
"1514","53",,
"1515","51",,
"1516","53",,
"1517","55",,
"1518","58",,
"1519","56",,
"1520","54",,
"1521","56",,
"1522","61",,
"1523","58",,
"1524","56",,
"1525","57",,
"1526","54",,
"1527","52",,
"1528","54",,
"1529","56",,
"1530","58",,
"1531","53",,
"1532","53",,
"1533","52",,
"1534","53",,
"1535","52",,
"1536","54",,
"1537","58",,
"1538","59",,
"1539","58",,
"1540","60",,
"1541","63",,
"1542","67",,
"1543","60",,
"1544","51",,
"1545","57",,
"1546","55",,
"1547","54",,
"1548","57",,
"1549","54",,
"1550","53",,
"1551","53",,
"1552","54",,
"1553","59",,
"1554","61",,
"1555","55",,
"1556","59",,
"1557","60",,
"1558","58",,
"1559","59",,
"1560","59",,
"1561","56",,
"1562","58",,
"1563","55",,
"1564","53",,
"1565","53",,
"1566","53",,
"1567","54",,
"1568","51",,
"1569","55",,
"1570","57",,
"1571","58",,
"1572","54",,
"1573","55",,
"1574","56",,
"1575","58",,
"1576","59",,
"1577","59",,
"1578","61",,
"1579","62",,
"1580","60",,
"1581","59",,
"1582","57",,
"1583","61",,
"1584","54",,
"1585","55",,
"1586","58",,
"1587","59",,
"1588","60",,
"1589","61",,
"1590","59",,
"1591","58",,
"1592","56",,
"1593","54",,
"1594","57",,
"1595","63",,
"1596","61",,
"1597","58",,
"1598","55",,
"1599","55",,
"1600","54",,
"1601","55",,
"1602","56",,
"1603","63",,
"1604","61",,
"1605","59",,
"1606","59",,
"1607","60",,
"1608","62",,
"1609","64",,
"1610","61",,
"1611","59",,
"1612","60",,
"1613","65",,
"1614","62",,
"1615","59",,
"1616","58",,
"1617","55",,
"1618","54",,
"1619","51",,
"1620","52",,
"1621","60",,
"1622","61",,
"1623","60",,
"1624","59",,
"1625","62",,
"1626","60",,
"1627","59",,
"1628","60",,
"1629","58",,
"1630","60",,
"1631","59",,
"1632","52",,
"1633","53",,
"1634","59",,
"1635","58",,
"1636","58",,
"1637","58",,
"1638","59",,
"1639","61",,
"1640","62",,
"1641","61",,
"1642","60",,
"1643","59",,
"1644","58",,
"1645","54",,
"1646","52",,
"1647","53",,
"1648","57",,
"1649","60",,
"1650","60",,
"1651","59",,
"1652","53",,
"1653","51",,
"1654","55",,
"1655","58",,
"1656","61",,
"1657","62",,
"1658","63",,
"1659","62",,
"1660","61",,
"1661","59",,
"1662","53",,
"1663","54",,
"1664","54",,
"1665","56",,
"1666","55",,
"1667","56",,
"1668","61",,
"1669","62",,
"1670","64",,
"1671","66",,
"1672","67",,
"1673","66",,
"1674","64",,
"1675","62",,
"1676","61",,
"1677","52",,
"1678","51",,
"1679","52",,
"1680","53",,
"1681","52",,
"1682","54",,
"1683","52",,
"1684","54",,
"1685","53",,
"1686","52",,
"1687","54",,
"1688","55",,
"1689","54",,
"1690","55",,
"1691","63",,
"1692","66",,
"1693","70",,
"1694","71",,
"1695","69",,
"1696","65",,
"1697","63",,
"1698","50",,
"1699","51",,
"1700","51",,
"1701","54",,
"1702","53",,
"1703","54",,
"1704","53",,
"1705","51",,
"1706","50",,
"1707","52",,
"1708","53",,
"1709","56",,
"1710","59",,
"1711","55",,
"1712","62",,
"1713","64",,
"1714","67",,
"1715","72",,
"1716","66",,
"1717","62",,
"1718","53",,
"1719","52",,
"1720","52",,
"1721","55",,
"1722","52",,
"1723","57",,
"1724","59",,
"1725","61",,
"1726","60",,
"1727","59",,
"1728","55",,
"1729","54",,
"1730","61",,
"1731","63",,
"1732","66",,
"1733","68",,
"1734","69",,
"1735","67",,
"1736","65",,
"1737","61",,
"1738","53",,
"1739","53",,
"1740","54",,
"1741","53",,
"1742","55",,
"1743","52",,
"1744","58",,
"1745","59",,
"1746","60",,
"1747","63",,
"1748","64",,
"1749","61",,
"1750","62",,
"1751","64",,
"1752","65",,
"1753","66",,
"1754","65",,
"1755","63",,
"1756","62",,
"1757","55",,
"1758","53",,
"1759","53",,
"1760","52",,
"1761","50",,
"1762","54",,
"1763","53",,
"1764","60",,
"1765","62",,
"1766","60",,
"1767","61",,
"1768","62",,
"1769","63",,
"1770","62",,
"1771","61",,
"1772","60",,
"1773","57",,
"1774","60",,
"1775","55",,
"1776","56",,
"1777","53",,
"1778","54",,
"1779","53",,
"1780","52",,
"1781","54",,
"1782","55",,
"1783","51",,
"1784","52",,
"1785","54",,
"1786","59",,
"1787","58",,
"1788","53",,
"1789","53",,
"1790","52",,
"1791","55",,
"1792","57",,
"1793","58",,
"1794","53",,
"1795","60",,
"1796","59",,
"1797","61",,
"1798","60",,
"1799","53",,
"1800","53",,
"1801","55",,
"1802","57",,
"1803","58",,
"1804","57",,
"1805","59",,
"1806","53",,
"1807","56",,
"1808","57",,
"1809","57",,
"1810","59",,
"1811","60",,
"1812","57",,
"1813","59",,
"1814","58",,
"1815","57",,
"1816","58",,
"1817","60",,
"1818","61",,
"1819","62",,
"1820","61",,
"1821","60",,
"1822","60",,
"1823","55",,
"1824","58",,
"1825","60",,
"1826","54",,
"1827","55",,
"1828","53",,
"1829","55",,
"1830","61",,
"1831","63",,
"1832","62",,
"1833","61",,
"1834","60",,
"1835","54",,
"1836","53",,
"1837","56",,
"1838","61",,
"1839","60",,
"1840","56",,
"1841","56",,
"1842","58",,
"1843","54",,
"1844","57",,
"1845","62",,
"1846","64",,
"1847","66",,
"1848","67",,
"1849","64",,
"1850","63",,
"1851","54",,
"1852","56",,
"1853","62",,
"1854","63",,
"1855","64",,
"1856","63",,
"1857","62",,
"1858","53",,
"1859","54",,
"1860","55",,
"1861","57",,
"1862","52",,
"1863","53",,
"1864","54",,
"1865","58",,
"1866","61",,
"1867","70",,
