n4852505609,4852505609,1,,,Fårö 78:1,ruins,,19.112,57.858;;
n4852505610,4852505610,1,,,Fårö 78:2,ruins,,19.113,57.858;;
n4852505611,4852505611,1,,,Fårö 78:4,ruins,,19.113,57.858;;
n4852505612,4852505612,1,,,Fårö 78:3,ruins,,19.113,57.858;;
n4852505613,4852505613,1,,,Fårö 79:1,archaeological_site,,19.110,57.858;;
n4852505614,4852505614,1,,,Fårö 79:2,archaeological_site,,19.110,57.858;;
n4852505615,4852505615,1,,,Fårö 142:1,archaeological_site,,19.110,57.856;;
n4852505616,4852505616,1,,,Fårö 80:1,archaeological_site,,19.113,57.855;;
n4852505617,4852505617,1,,,Fårö 252:1,archaeological_site,,19.112,57.852;;
n4852505619,4852505619,1,,,Fårö 259:1,archaeological_site,,19.129,57.849;;
n4852505620,4852505620,1,,,Fårö 259:1,archaeological_site,,19.129,57.849;;
n4888688747,4888688747,1,,,Fårö 15:1,archaeological_site,,19.124,57.959;;
n4888688748,4888688748,1,,,Fårö 14:3,archaeological_site,,19.112,57.960;;
n4888688749,4888688749,1,,,Fårö 14:2,archaeological_site,,19.113,57.960;;
n4888688750,4888688750,1,,,Fårö 14:1,archaeological_site,,19.113,57.960;;
n4888688751,4888688751,1,,,Fårö 12:1,archaeological_site,,19.131,57.965;;
n4888688769,4888688769,1,,,Fårö 9:1,archaeological_site,,19.195,57.970;;
n4888688770,4888688770,1,,,Fårö 4:1,archaeological_site,,19.215,57.994;;
n4888688772,4888688772,1,,,Fårö 2:4,archaeological_site,,19.190,57.998;;
n4888688780,4888688780,1,,,Fårö 11:2,archaeological_site,,19.135,57.966;;
n4888688781,4888688781,1,,,Fårö 11:1,archaeological_site,,19.135,57.966;;
n4888688798,4888688798,1,,,Fårö 3:1,archaeological_site,,19.181,57.997;;
n4888688800,4888688800,1,,,Fårö 2:3,archaeological_site,,19.189,57.998;;
n4888688801,4888688801,1,,,Fårö 2:2,archaeological_site,,19.189,57.998;;
n4888688802,4888688802,1,,,Fårö 2:1,archaeological_site,,19.189,57.998;;
n4888688803,4888688803,1,,,Fårö 1:1,archaeological_site,,19.240,57.998;;
n4954644105,4954644105,1,,,,village,,18.158,57.407;;
n4956857795,4956857795,1,,,Bara Ödekyrka,ruins,,18.612,57.585;;
n5112840376,5112840376,1,,,Majsterrojr,archaeological_site,,18.734,57.615;;
n5635864729,5635864729,1,,,Ryska kyrkogården,memorial,,19.298,58.352;;
n5635864730,5635864730,1,,,Ryska Kanonerna,memorial,,19.299,58.351;;
n5712258179,5712258179,1,,,Offerkällan,memorial,,18.473,57.668;;
n5713999766,5713999766,1,,,,memorial,,18.806,57.705;;
n5714108423,5714108423,1,,,,memorial,,18.417,57.704;;
