full_id,osm_id,osm_type,railway,public_transport,name,historic,alt_name,long,lat
n6373747906,6373747906,node,,,Boge 33:1,archaeological_site,,18.735,57.628
n6373747978,6373747978,node,,,Boge 4:1,wayside_cross,,18.758,57.702
n6373753073,6373753073,node,,,Domarlunden,archaeological_site,,18.817,57.784
n6373753074,6373753074,node,,,Lajkarhajd,archaeological_site,,18.815,57.785
n6373753075,6373753075,node,,,Sangelstainen,archaeological_site,,18.810,57.783
n6373759857,6373759857,node,,,Rute 23:1,memorial,,18.948,57.798
n6373764149,6373764149,node,,,Majsterrojr skeppssättning,archaeological_site,,18.734,57.615
n6373771303,6373771303,node,,,Lilla Bjärs Gravfält,archaeological_site,,18.541,57.790
n6374174464,6374174464,node,,,Barshalder Skeppssättning,archaeological_site,Grötlingbo 4:3,18.321,57.102
n6374182223,6374182223,node,,,Havdhem Skeppssättningar,archaeological_site,,18.342,57.181
n6374182224,6374182224,node,,,Bildstenen vid Stenbro,monument,,18.211,57.232
n6374203622,6374203622,node,,,Djupvik Skeppssättning,archaeological_site,Eksta 76:1,18.151,57.307
n6374234542,6374234542,node,,,Rannarve Röse,archaeological_site,,18.226,57.398
n6374238908,6374238908,node,,,Barshalder Cairn,archaeological_site,,18.321,57.102
n6374256479,6374256479,node,,,,,,18.240,57.269
n6590316187,6590316187,node,,,,archaeological_site,,18.431,57.170
n6590316188,6590316188,node,,,,archaeological_site,,18.435,57.170
n6590325685,6590325685,node,,,,archaeological_site,,18.426,57.168
n6634264854,6634264854,node,,,Sankt Göransporten,city_gate,,18.300,57.645
n6634294872,6634294872,node,,,Norderport,city_gate,,18.301,57.645
n6641175640,6641175640,node,,,Galgen,gallows,,18.307,57.650
n6641525538,6641525538,node,,,,,,18.301,57.642
n6641693084,6641693084,node,,,Linné,memorial,,18.293,57.643
n6641861710,6641861710,node,,,Dalmansporten,city_gate,,18.301,57.642
n6651668069,6651668069,node,,,Järnåldersgrav,tomb,,17.973,57.289
n6658465706,6658465706,node,level_crossing,,,,,18.841,57.896
n6658465707,6658465707,node,level_crossing,,,,,18.842,57.897
n6658465725,6658465725,node,level_crossing,,,,,18.858,57.903
n6672514930,6672514930,node,,,Kalkugn,building,,19.057,57.866
n6699987258,6699987258,node,,,,ruins,,18.306,57.648
n6700033551,6700033551,node,,,Hit rann blodet,memorial,,18.289,57.638
n7292507079,7292507079,node,,,Albatrossmonumentet,memorial,,18.859,57.422
n7620870942,7620870942,node,,,,archaeological_site,,18.433,57.173
n7620870943,7620870943,node,,,,archaeological_site,,18.437,57.172
n7620870944,7620870944,node,,,,archaeological_site,,18.440,57.172
n7620870945,7620870945,node,,,,archaeological_site,,18.438,57.173
n7620870946,7620870946,node,,,,archaeological_site,,18.429,57.173
n7620891111,7620891111,node,,,Hagrojr,archaeological_site,"Hagröjr;Hag rojr",18.499,57.189
n8117286489,8117286489,node,,,,ruins,,18.762,57.425
n8729113331,8729113331,node,,,,memorial,,18.339,57.581
n8900440073,8900440073,node,,,Flyktingarna Från Estland,memorial,,18.810,57.706
n8995992315,8995992315,node,,,,yes,,18.096,57.275
n9023836848,9023836848,node,level_crossing,,,,,18.526,57.542
