fid,id,LDEN,st_area_sh,st_length_,Long,Lat
1,3404,56,100.06928988,40.0138555769,3.86637,43.67905
2,3784,51,200.13757184,60.0207322275,3.86734,43.67845
3,7609,54,500.347495355,120.041771287,3.85033,43.67482
4,8280,54,100.06879352,40.01375634,3.84863,43.67425
5,10568,50,100.069214105,40.0138404272,3.96043,43.67117
6,12670,55,100.0697483,40.0139472294,3.91266,43.67068
7,13306,55,100.0702826,40.0140540517,3.86021,43.67103
8,13386,51,100.0697256,40.01394269,3.94935,43.6698
9,13844,53,100.070290195,40.0140555721,3.86082,43.67075
10,15155,51,100.069214105,40.0138404272,3.96235,43.66881
11,15509,50,300.209275215,80.0278974888,3.90176,43.66951
12,15616,51,500.35248554,120.041869002,3.84791,43.67012
13,17694,55,400.281145595,100.035085511,3.86158,43.66903
14,18672,50,100.06979384,40.0139563343,3.86176,43.66867
15,18804,50,100.07022198,40.0140419319,3.9509,43.66744
16,26390,53,400.281558435,100.035378669,3.88897,43.66583
17,28395,52,300.211219045,80.0279906706,3.92131,43.6647
18,28481,57,100.070206875,40.014038912,3.96892,43.66403
19,30362,50,100.07021442,40.0140404225,3.95576,43.66377
20,32602,54,200.14158072,60.0211322159,3.85701,43.66459
21,34138,54,100.0707562,40.0141487382,3.90268,43.66361
22,34264,53,400.28331322,100.035145393,3.96984,43.66273
23,39419,51,200.141959565,60.0212147827,3.9337,43.66201
24,40787,50,100.071199655,40.0142373978,3.97429,43.66116
25,41438,50,100.07076378,40.0141502546,3.89061,43.66216
26,43556,55,200.14352822,60.0215261315,3.89011,43.66176
27,43828,50,200.143161175,60.0214451461,3.80624,43.66274
28,44266,50,200.1413839,60.0212027097,3.98872,43.66023
29,44471,51,100.071260155,40.0142494935,3.90808,43.66129
30,46185,52,100.07077896,40.0141532895,3.86728,43.66148
31,46830,50,100.07074862,40.0141472237,3.91104,43.6608
32,48532,52,200.143395865,60.021405719,3.97586,43.65965
33,49716,52,100.071260155,40.0142494935,3.89565,43.66047
34,50320,59,100.07173381,40.0143441911,3.93098,43.65989
35,51235,52,100.071245,40.0142464636,3.91957,43.65987
36,51266,54,100.07073348,40.0141441968,3.92651,43.65977
37,51926,54,100.0712072,40.0142389063,3.9689,43.65908
38,52874,56,700.49912056,160.056872997,3.93594,43.65938
39,52974,52,100.07170359,40.0143381492,3.9689,43.6589
40,53904,61,200.142467295,60.0213170485,3.93307,43.65927
41,53985,50,500.355550935,100.035449156,3.96153,43.65893
42,54506,51,100.07071081,40.0141396634,3.96505,43.65868
43,55621,60,100.071192115,40.0142358904,3.98091,43.65827
44,55869,60,200.14250515,60.0213215899,3.90957,43.6592
45,57773,55,100.07174895,40.014347218,3.91124,43.65881
46,57899,50,300.214151965,80.028482342,3.95421,43.65824
47,59213,52,300.21528475,80.0287004971,3.89983,43.65879
48,59437,50,300.214125535,80.0283785694,3.96647,43.65782
49,60432,50,100.070718365,40.0141411738,3.95324,43.65777
50,60957,50,100.07121475,40.0142404158,3.96179,43.65756
51,61122,62,300.21643708,80.0289202479,3.8309,43.65936
52,61324,51,200.142497575,60.0213215899,3.91302,43.65816
53,64413,55,100.07170359,40.0143381492,3.96921,43.65682
54,66251,51,300.21365936,80.0285830943,3.94954,43.6568
55,66483,50,200.144077745,60.0216329617,3.86322,43.65789
56,70532,52,200.144513385,60.0216238547,3.89878,43.65669
57,72310,50,100.07284054,40.0145654576,3.79142,43.65771
58,74996,53,100.07177929,40.0143532838,3.87112,43.65621
59,75099,50,200.14301668,60.021623855,3.90235,43.65583
60,76223,61,300.21507307,80.0286702679,3.98713,43.6544
61,76666,57,200.142884395,60.0215034544,3.98446,43.65435
62,76890,51,100.07226807,40.0144510042,3.88338,43.65568
63,78611,55,100.07277962,40.014553278,3.87234,43.65547
64,79721,55,100.07170359,40.0143381492,3.96901,43.65394
65,79859,51,100.072290855,40.0144555596,3.85448,43.65544
66,81606,54,300.21736132,80.0290118773,3.85621,43.65515
67,81607,52,100.07179449,40.0143563227,3.85633,43.65506
68,81682,55,100.07226807,40.0144510042,3.88261,43.6547
69,81888,52,200.14391867,60.0216087294,3.962,43.6536
70,83576,62,100.07170359,40.0143381492,3.97953,43.65298
71,85096,59,100.07326082,40.014649482,3.89796,43.65377
72,85665,65,200.14340718,60.0215064696,3.97338,43.65262
73,86232,57,100.07277962,40.014553278,3.87254,43.65385
74,86848,52,100.07384088,40.0147654518,3.79085,43.65475
75,86962,54,100.073275995,40.0146525159,3.8739,43.65365
76,86990,55,600.436632175,140.050727373,3.88326,43.65353
77,87517,53,600.43296046,140.050612979,3.92231,43.65308
78,89240,51,100.07171114,40.0143396577,3.95631,43.65206
79,89576,58,100.07274171,40.0145456978,3.92111,43.65246
80,91096,53,100.07277203,40.0145517606,3.87586,43.65273
81,93001,63,100.07220753,40.0144389006,3.95951,43.6512
82,94737,56,100.07221508,40.0144404101,3.9507,43.65097
83,95229,51,100.07220753,40.0144389006,3.96793,43.65063
84,96410,54,200.146029045,60.0218238493,3.89647,43.65136
85,98405,50,400.289905985,100.036357439,3.93898,43.6505
86,98838,50,100.07323053,40.0146434262,3.93246,43.65041
87,99646,56,100.07278722,40.0145547975,3.86962,43.6511
88,100186,58,800.58094849,140.050609952,3.92031,43.65036
89,103161,54,200.146533015,60.02192612,3.89129,43.65013
90,106395,54,200.14555924,60.0219306734,3.86835,43.64981
91,108037,65,100.073215415,40.0146404044,3.9551,43.64829
92,108722,58,400.292164415,100.03648699,3.85656,43.64954
93,111759,53,200.1454456,60.0219140075,3.94553,43.64775
94,114025,61,100.073215415,40.0146404044,3.95345,43.64715
