fid,id,LDEN,st_area_sh,st_length_,Long,Lat
491,435272,57,100.0858072,40.0171577641,3.84389,43.56502
492,435568,53,100.085318425,40.0170600496,3.8294,43.56476
493,436109,52,100.085807205,40.0171577631,3.84349,43.56385
494,436760,70,100.08581481,40.0171592865,3.83122,43.56303
495,436763,70,100.08581481,40.0171592865,3.83196,43.56302
496,437322,65,100.08581481,40.0171592865,3.83132,43.56212
497,437428,70,100.08581481,40.0171592865,3.82933,43.56197
498,437578,55,100.086303595,40.0172570001,3.84504,43.56158
499,440662,51,200.17312262,60.026038919,3.83981,43.55512
500,440674,73,100.08682283,40.017360803,3.82248,43.55522
